candidate_id,candidate_type,entity_type,left_entity_id,left_name,right_entity_id,right_name,string_similarity,embedding_similarity,system_decision,human_decision,reviewer,review_note
review_0019,fuzzy,Program,entity_614,농특산물 판매,entity_8121,농특산물 판매장,0.9333,,review,,,
review_0020,fuzzy,Program,entity_601,거리 퍼레이드,entity_1069,거리퍼레이드,0.9231,,review,,,
review_0021,fuzzy,Program,entity_1769,군악·의장 공연,entity_5089,군악의장대 공연,0.875,,review,,,
review_0022,fuzzy,Location,entity_3291,고터·세빛 관광특구,entity_3299,고터·세빛 관광 특구,0.9524,,review,,,
review_0023,fuzzy,Audience,entity_323,어린이와 가족 단위 방문객,entity_1235,어린이와 가족 단위 관람객,0.8571,,review,,,
review_0024,fuzzy,Program,entity_410,수문장 교대의식,entity_7488,수문장교대식,0.8571,,review,,,
review_0025,fuzzy,Program,entity_7555,"공예롭게, 담다",entity_7557,"공예롭게, 놀다",0.8571,,review,,,
review_0026,fuzzy,Program,entity_3249,메인공연,entity_3277,메인 공연,0.8889,,review,,,
review_0027,fuzzy,Program,entity_11283,숭례문 개문의식,entity_11284,숭례문 폐문의식,0.875,,review,,,
review_0028,fuzzy,Program,entity_11061,얼음낚시,entity_11248,얼음낚시터,0.8889,,review,,,
review_0029,fuzzy,Program,entity_2503,어린이 체험관,entity_9448,어린이 체험존,0.8571,,review,,,
review_0030,fuzzy,Program,entity_5450,개막식 축하공연,entity_7507,개막식/공연,0.8571,,review,,,
review_0031,fuzzy,Program,entity_3568,사진전시,entity_8226,사진 전시,0.8889,,review,,,
review_0032,fuzzy,Audience,entity_4692,만 16세 이상,entity_4700,만 13세(중학생) 이상,0.875,,review,,,
review_0033,fuzzy,Program,entity_1859,어린이 체험 프로그램,entity_5292,어린이 체험프로그램,0.9524,,review,,,
review_0034,fuzzy,Program,entity_375,아라대왕 행렬,entity_378,아라대왕행렬,0.9231,,review,,,
review_0035,fuzzy,Program,entity_1503,무대행사,entity_5188,무대 행사,0.8889,,review,,,
review_0036,fuzzy,Program,entity_21,거리예술 공연,entity_10295,거리예술공연,0.9231,,review,,,
review_0037,fuzzy,Program,entity_1770,초청 공연,entity_2818,초청공연,0.8889,,review,,,
review_0038,fuzzy,Product,entity_892,지역 농특산물,entity_4363,지역 농축특산물,0.9333,,review,,,
review_0039,fuzzy,Audience,entity_835,지역주민,entity_2404,지역민,0.8571,,review,,,
review_0040,fuzzy,Audience,entity_835,지역주민,entity_6847,지역주민들,0.8889,,review,,,
review_0041,fuzzy,Program,entity_6952,보드게임 대회,entity_8894,보드게임 대여,0.8571,,review,,,
review_0042,fuzzy,Program,entity_1996,물놀이장,entity_5781,물놀이,0.8571,,review,,,
review_0043,fuzzy,Program,entity_7553,"공예롭게, 보다",entity_7555,"공예롭게, 담다",0.8571,,review,,,
review_0044,fuzzy,Program,entity_10649,청소년어울림마당,entity_10998,청소년 어울마당,0.875,,review,,,
review_0045,fuzzy,Audience,entity_365,관람객들,entity_9357,관람객분들,0.8889,,review,,,
review_0046,fuzzy,Audience,entity_2782,국내외 청년,entity_3538,국내외 청소년들,0.8571,,review,,,
review_0047,fuzzy,Program,entity_6548,워터락페스티벌,entity_6668,워터붐페스티벌,0.8571,,review,,,
review_0048,fuzzy,Program,entity_1583,초청가수 공연,entity_8350,초청 가수 공연,0.9333,,review,,,
review_0049,fuzzy,Audience,entity_721,어린이와 가족,entity_10829,어린이·가족,0.9231,,review,,,
review_0050,fuzzy,Program,entity_270,해상 퍼레이드,entity_276,해상퍼레이드,0.9231,,review,,,
review_0051,fuzzy,Program,entity_1047,스탬프투어 이벤트,entity_6626,스탬프 투어 이벤트,0.9474,,review,,,
review_0052,fuzzy,Program,entity_3689,개막행사,entity_10788,개막 행사,0.8889,,review,,,
review_0053,fuzzy,Program,entity_1605,지역 동아리 가수공연,entity_9778,지역 동아리 공연,0.9,,review,,,
review_0054,fuzzy,Program,entity_4619,지역 예술공연,entity_6857,지역예술인공연,0.8571,,review,,,
review_0055,fuzzy,Program,entity_1953,밀양아리랑 경연대회,entity_1964,밀양아리랑경연대회,0.9474,,review,,,
review_0056,fuzzy,Program,entity_2251,보드게임 존,entity_3361,보드 게임 존,0.9231,,review,,,
review_0057,fuzzy,Festival,entity_7173,2026 부산국제불교박람회,entity_11148,2026 서울국제불교박람회,0.8571,,review,,,
review_0058,fuzzy,Program,entity_1388,문화 공연,entity_4759,문화공연,0.8889,,review,,,
review_0059,fuzzy,Program,entity_372,말이산 힐링예,entity_392,말이산 힐링보(步),0.8571,,review,,,
review_0060,fuzzy,Program,entity_926,어린이 놀이터,entity_3250,어린이놀이터(에어바운스·컬러링월),0.9231,,review,,,
review_0061,fuzzy,Program,entity_7553,"공예롭게, 보다",entity_7557,"공예롭게, 놀다",0.8571,,review,,,
review_0062,fuzzy,Program,entity_844,지역 문화공연,entity_2844,지역문화 공연,0.8571,,review,,,
review_0063,fuzzy,Audience,entity_2601,가족 단위 관람객,entity_4455,가족 단위 관광객,0.8889,,review,,,
review_0064,fuzzy,Location,entity_11286,해운대 해수욕장,entity_11291,해운대해수욕장,0.9333,,review,,,
review_0065,fuzzy,Program,entity_11,SNS 인증이벤트,entity_10766,SNS 인증 이벤트(상권 내 사용 가능 쿠폰 제공),0.9474,,review,,,
review_0066,fuzzy,Program,entity_473,지역문화예술단체 공연,entity_4946,지역 예술단체 공연,0.8571,,review,,,
review_0067,fuzzy,Location,entity_8855,영화의전당 중극장,entity_8856,영화의전당 소극장,0.8889,,review,,,
review_0068,fuzzy,Program,entity_5648,개막식 주제공연,entity_10146,개막주제공연,0.8571,,review,,,
review_0069,fuzzy,Program,entity_473,지역문화예술단체 공연,entity_9618,지역문화예술 공연,0.9,,review,,,
review_0070,fuzzy,Program,entity_1588,페이스페인팅,entity_2256,페이스 페인팅,0.9231,,review,,,
review_0071,fuzzy,Program,entity_750,개막식 및 개막 축하공연,entity_6354,개막식 및 개막 축하쇼(공정식 가요제),0.88,,review,,,
review_0072,fuzzy,Program,entity_6341,비눗방울 체험,entity_9173,비눗방울체험,0.9231,,review,,,
review_0073,fuzzy,Program,entity_8121,농특산물 판매장,entity_10781,농특산물 판매존,0.875,,review,,,
review_0074,fuzzy,Program,entity_4468,수상레저체험존,entity_7066,수상레저체험,0.9231,,review,,,
review_0075,fuzzy,Theme,entity_7215,커피문화,entity_8611,커피 문화,0.8889,,review,,,
review_0076,fuzzy,Program,entity_5516,F&B 존,entity_6136,F&B존,0.8889,,review,,,
review_0077,fuzzy,Program,entity_9901,이터널 리턴 ROUND1,entity_9904,이터널 리턴 ROUND2,0.9231,,review,,,
review_0078,fuzzy,Program,entity_2905,먹거리존,entity_3487,먹거리 존,0.8889,,review,,,
review_0079,fuzzy,Program,entity_77,체험부스,entity_624,체험 부스,0.8889,,review,,,
review_0080,fuzzy,Product,entity_3978,지역 특산물 및 농수산물,entity_8251,지역 특산품 및 농산물,0.88,,review,,,
review_0081,fuzzy,Program,entity_8238,사자춤,entity_9745,사자탈춤,0.8571,,review,,,
review_0082,fuzzy,Program,entity_4687,썸머 페스티벌,entity_6795,썸머페스티벌,0.9231,,review,,,
review_0083,fuzzy,Product,entity_2521,향토음식,entity_2639,향토 음식,0.8889,,review,,,
review_0084,fuzzy,Program,entity_2316,개폐막식,entity_2317,개폐막공식,0.8889,,review,,,
review_0085,fuzzy,Program,entity_5772,지역 농특산물 판매장,entity_8268,지역농특산물 판매장,0.9524,,review,,,
review_0086,fuzzy,Program,entity_645,지역예술가 공연,entity_2438,지역예술인 공연,0.875,,review,,,
review_0087,fuzzy,Artist,entity_1764,길려원,entity_9414,길려원님,0.8571,,review,,,
review_0088,fuzzy,Program,entity_4858,친환경 체험,entity_5135,친환경 에코체험,0.8571,,review,,,
review_0089,fuzzy,Artist,entity_6345,진도군립민속예술단,entity_6346,진도군군립민속예술단,0.9474,,review,,,
review_0090,fuzzy,Theme,entity_268,호국정신,entity_4734,호국 정신,0.8889,,review,,,
review_0091,fuzzy,Program,entity_660,주제 공연,entity_2319,주제공연,0.8889,,review,,,
review_0092,fuzzy,Program,entity_1139,드론 라이트쇼,entity_1446,드론 라이트 쇼,0.9333,,review,,,
review_0093,fuzzy,Program,entity_11172,노래자랑 예선,entity_11173,노래자랑 본선,0.8571,,review,,,
review_0094,fuzzy,Audience,entity_254,청소년,entity_7361,청소년들,0.8571,,review,,,
review_0095,fuzzy,Program,entity_2585,사과키링만들기,entity_2586,사과키캡만들기,0.8571,,review,,,
review_0096,fuzzy,Program,entity_517,농경문화체험,entity_5196,농경문화 체험,0.9231,,review,,,
review_0097,fuzzy,Location,entity_1159,남산골한옥마을,entity_1172,남산골 한옥마을,0.9333,,review,,,
review_0098,fuzzy,Program,entity_2508,전통민속놀이체험,entity_3604,전통민속놀이,0.8571,,review,,,
review_0099,fuzzy,Program,entity_11201,겨울 간식 체험,entity_11203,겨울 간식체험(구워먹기),0.9333,,review,,,
review_0100,fuzzy,Program,entity_410,수문장 교대의식,entity_6482,수문장교대의식,0.9333,,review,,,
review_0101,fuzzy,Program,entity_614,농특산물 판매,entity_9035,농특산물판매장,0.8571,,review,,,
review_0102,fuzzy,Program,entity_11,SNS 인증이벤트,entity_4921,SNS 인증샷 이벤트,0.9,,review,,,
review_0103,fuzzy,Program,entity_473,지역문화예술단체 공연,entity_11102,지역예술단체 공연,0.9,,review,,,
review_0104,fuzzy,Product,entity_892,지역 농특산물,entity_11207,지역 농특산품,0.8571,,review,,,
review_0105,fuzzy,Program,entity_603,불꽃 쇼,entity_608,불꽃쇼,0.8571,,review,,,
review_0106,fuzzy,Program,entity_7148,초청가수의 공연,entity_8350,초청 가수 공연,0.875,,review,,,
review_0107,fuzzy,Program,entity_3896,다회용기 반납처,entity_6780,다회용기 반납소,0.875,,review,,,
review_0108,fuzzy,Program,entity_10742,묘목 상담관,entity_10744,묘목 전문상담관,0.8571,,review,,,
review_0109,fuzzy,Program,entity_311,버블 쇼,entity_1213,버블쇼,0.8571,,review,,,
review_0110,fuzzy,Program,entity_861,갯골험대,entity_875,갯골탐험대,0.8889,,review,,,
review_0111,fuzzy,Program,entity_7281,코스프레 무대 행사,entity_7282,코스프레 무대행사,0.9474,,review,,,
review_0112,fuzzy,Program,entity_1500,식전공연,entity_9159,식전 공연,0.8889,,review,,,
review_0113,fuzzy,Program,entity_2905,먹거리존,entity_10756,먹거리,0.8571,,review,,,
review_0114,fuzzy,Program,entity_2200,독서 토론회 1,entity_2201,독서 토론회 2,0.875,,review,,,
review_0115,fuzzy,Program,entity_485,농특산품 판매장(4개소),entity_8763,농특산품 판매,0.9333,,review,,,
review_0116,fuzzy,Program,entity_10739,명품 묘목을 찾아라,entity_10743,명품묘목을 찾아라,0.9474,,review,,,
review_0117,fuzzy,Program,entity_3764,지역민 공연,entity_5190,지역주민 공연,0.9231,,review,,,
review_0118,fuzzy,Location,entity_4132,계룡스파텔 잔디광장,entity_4138,계룡 스파텔 잔디광장,0.9524,,review,,,
review_0119,fuzzy,Program,entity_1075,전통놀이 체험,entity_9344,전통 놀이 체험,0.9333,,review,,,
review_0120,fuzzy,Program,entity_3760,개/폐막식 공연,entity_11472,개/폐막식공연,0.9333,,review,,,
review_0121,fuzzy,Audience,entity_7630,가족단위,entity_9048,가족 단위,0.8889,,review,,,
review_0122,fuzzy,Program,entity_1183,전통문화예술공연,entity_7452,전통문화공연,0.8571,,review,,,
review_0123,fuzzy,Program,entity_3202,갯벌생태체험(10종),entity_9692,갯벌 생태체험,0.9231,,review,,,
review_0124,fuzzy,Festival,entity_5788,2026 경주 e스포츠 페스티벌,entity_6082,2026 홍천 e스포츠 페스티벌,0.8824,,review,,,
review_0125,fuzzy,Program,entity_8820,세계놀이 체험,entity_8830,세계놀이체험,0.9231,,review,,,
review_0126,fuzzy,Program,entity_309,나눔장터존,entity_8832,나눔장터,0.8889,,review,,,
review_0127,fuzzy,Program,entity_4440,농특산물 직거래 장터,entity_5503,농특산품 직거래장터,0.8571,,review,,,
review_0128,fuzzy,Audience,entity_423,시민과 관광객,entity_1218,시민과 관객,0.9231,,review,,,
review_0129,fuzzy,Program,entity_7553,"공예롭게, 보다",entity_7556,"공예롭게, 잇다",0.8571,,review,,,
review_0130,fuzzy,Program,entity_11425,우주항공·군사장비 체험,entity_11436,우주항공및 군사장비 체험,0.96,,review,,,
review_0131,fuzzy,Program,entity_3547,장뜰두레농요시연,entity_8227,장뜰두레농요,0.8571,,review,,,
review_0132,fuzzy,Program,entity_11281,숭례문 개폐의식,entity_11283,숭례문 개문의식,0.875,,review,,,
review_0133,fuzzy,Program,entity_5677,도서판매,entity_5798,도서 판매,0.8889,,review,,,
review_0134,fuzzy,Audience,entity_40,관람객,entity_365,관람객들,0.8571,,review,,,
review_0135,fuzzy,Program,entity_8280,농특산물 장터,entity_9187,농특산물장터,0.9231,,review,,,
review_0136,fuzzy,Program,entity_7223,커피크닉,entity_8636,커피크닉존,0.8889,,review,,,
review_0137,fuzzy,Program,entity_11163,빙어낚시,entity_11249,빙어낚시터,0.8889,,review,,,
review_0138,fuzzy,Program,entity_7452,전통문화공연,entity_11235,전통문화 공연,0.9231,,review,,,
review_0139,fuzzy,Program,entity_5385,추모제,entity_9869,추모대제,0.8571,,review,,,
review_0140,fuzzy,Program,entity_2207,어린이 뮤지컬 1,entity_2208,어린이 뮤지컬 2,0.8889,,review,,,
review_0141,fuzzy,Program,entity_2963,스탬프 이벤트,entity_10943,스탬프이벤트,0.9231,,review,,,
review_0142,fuzzy,Audience,entity_1218,시민과 관객,entity_2350,시민과 관람객,0.9231,,review,,,
review_0143,fuzzy,Location,entity_671,비엔날레전시관,entity_676,비엔날레 전시관,0.9333,,review,,,
review_0144,fuzzy,Program,entity_7179,선명상 체험전,entity_11155,선명상 체험,0.9231,,review,,,
review_0145,fuzzy,Program,entity_260,청소년동아리 공연,entity_4437,청소년 동아리 공연,0.9474,,review,,,
review_0146,fuzzy,Product,entity_4363,지역 농축특산물,entity_8371,지역농특산물,0.8571,,review,,,
review_0147,fuzzy,Program,entity_5761,썸머 나잇 일렉트릭,entity_5766,썸머나잇 일렉트릭,0.9474,,review,,,
review_0148,fuzzy,Program,entity_8670,가족사업 전시,entity_8673,가족사업전시,0.9231,,review,,,
review_0149,fuzzy,Program,entity_586,무섬 힐링 밧줄체험,entity_595,무섬 힐링 밧줄 체험,0.9524,,review,,,
review_0150,fuzzy,Program,entity_6409,보성티마스터컵,entity_6420,보성티 마스터컵,0.9333,,review,,,
review_0151,fuzzy,Product,entity_2592,오미자,entity_2597,오미자주,0.8571,,review,,,
review_0152,fuzzy,Program,entity_3246,유관기관 부스(3팀),entity_8948,유관 기관 부스,0.9333,,review,,,
review_0153,fuzzy,Program,entity_8102,먹거리관,entity_10756,먹거리,0.8571,,review,,,
review_0154,fuzzy,Program,entity_2204,인문가치 영상 공모전,entity_2205,인문가치 대상 공모,0.8571,,review,,,
review_0155,fuzzy,Program,entity_635,생활문화공연,entity_5559,생활문화 공연,0.9231,,review,,,
review_0156,fuzzy,Program,entity_2170,음악공연,entity_2570,음악 공연,0.8889,,review,,,
review_0157,fuzzy,Program,entity_2764,마술공연,entity_5645,마술 공연,0.8889,,review,,,
review_0158,fuzzy,Product,entity_6003,지역 특산품,entity_11207,지역 농특산품,0.9231,,review,,,
review_0159,fuzzy,Program,entity_3675,맨손전어잡기 체험,entity_5636,맨손활어잡기 체험,0.8889,,review,,,
review_0160,fuzzy,Program,entity_1583,초청가수 공연,entity_7148,초청가수의 공연,0.9333,,review,,,
review_0161,fuzzy,Program,entity_8667,가족의 언어' 듣고싶은 말,entity_8674,가족의 언어'듣고싶은말,0.96,,review,,,
review_0162,fuzzy,Audience,entity_3058,국내외 관광객,entity_3303,국내외의 관광객,0.9333,,review,,,
review_0163,fuzzy,Product,entity_990,궁중 병과,entity_9346,궁중병과,0.8889,,review,,,
review_0164,fuzzy,Program,entity_1208,정원 문화 체험,entity_4068,정원문화 체험,0.9333,,review,,,
review_0165,fuzzy,Program,entity_8885,경진대회,entity_10791,경진 대회,0.8889,,review,,,
review_0166,fuzzy,Program,entity_8020,풍선 아트,entity_8892,풍선아트,0.8889,,review,,,
review_0167,fuzzy,Program,entity_656,공연프로그램,entity_1740,"공연 프로그램(밴드, 마술 등)",0.9231,,review,,,
review_0168,fuzzy,Audience,entity_6084,전 연령층,entity_6999,전 연령,0.8889,,review,,,
review_0169,fuzzy,Artist,entity_1221,지역 예술인,entity_2518,지역 전문예술인,0.8571,,review,,,
review_0170,fuzzy,Program,entity_4329,무대 프로그램,entity_7880,무대프로그램,0.9231,,review,,,
review_0171,fuzzy,Program,entity_3426,주제전시,entity_7176,주제전,0.8571,,review,,,
review_0172,fuzzy,Theme,entity_266,역사문화,entity_5545,역사·문화,0.8889,,review,,,
review_0173,fuzzy,Program,entity_1139,드론 라이트쇼,entity_1390,드론라이트쇼,0.9231,,review,,,
review_0174,fuzzy,Program,entity_3686,북크닉,entity_8606,북크닉존,0.8571,,review,,,
review_0175,fuzzy,Program,entity_1310,미디어아트 체험관(야화 - 근대문화 시네마 극장),entity_11381,미디어아트 체험존,0.8889,,review,,,
review_0176,fuzzy,Program,entity_2824,맨손활어잡기,entity_9730,맨손 활어잡기,0.9231,,review,,,
review_0177,fuzzy,Program,entity_1752,《프로포즈전》,entity_1755,《프로포즈》,0.8889,,review,,,
review_0178,fuzzy,Program,entity_1883,미디어 아트,entity_11377,미디어 아트존,0.9231,,review,,,
review_0179,fuzzy,Program,entity_4946,지역 예술단체 공연,entity_11102,지역예술단체 공연,0.9474,,review,,,
review_0180,fuzzy,Program,entity_497,공예체험,entity_3335,공예 체험,0.8889,,review,,,
review_0181,fuzzy,Program,entity_460,전통놀이,entity_649,전통 놀이,0.8889,,review,,,
review_0182,fuzzy,Program,entity_2624,전통 민속놀이,entity_3604,전통민속놀이,0.9231,,review,,,
review_0183,fuzzy,Program,entity_1513,아이스쿨링존,entity_1528,아이스쿨링 존,0.9231,,review,,,
review_0184,fuzzy,Audience,entity_2404,지역민,entity_3025,지역민들,0.8571,,review,,,
review_0185,fuzzy,Program,entity_207,경품 추첨,entity_2673,경품추첨,0.8889,,review,,,
review_0186,fuzzy,Program,entity_7992,나만의 김밥 만들기 (미묘한 김밥집 ),entity_11036,나만의 김밥만들기,0.9474,,review,,,
review_0187,fuzzy,Program,entity_750,개막식 및 개막 축하공연,entity_5422,개막식 및 개막축하공연,0.96,,review,,,
review_0188,fuzzy,Program,entity_7504,학술행사,entity_10789,학술 행사,0.8889,,review,,,
review_0189,fuzzy,Program,entity_5477,AI체험,entity_5479,AI체험존,0.8889,,review,,,
review_0190,fuzzy,Location,entity_5824,축제극장 몸짓,entity_8932,축제극장몸짓,0.9231,,review,,,
review_0191,fuzzy,Program,entity_2434,가족 참여형 이벤트,entity_4758,가족 참여 이벤트,0.9474,,review,,,
review_0192,fuzzy,Program,entity_9353,야간경관조명(Night view Lighting),entity_10405,야간 경관 조명,0.8571,,review,,,
review_0193,fuzzy,Program,entity_3002,태권도 시범,entity_9146,태권도 시범공연,0.8571,,review,,,
review_0194,fuzzy,Program,entity_5450,개막식 축하공연,entity_6060,개막 축하 공연,0.875,,review,,,
review_0195,fuzzy,Program,entity_8268,지역농특산물 판매장,entity_11202,지역 농특산품 판매장,0.8571,,review,,,
review_0196,fuzzy,Program,entity_11560,대부해솔길 걷기축제,entity_11568,대부해솔길 걷기 축제,0.9524,,review,,,
review_0197,fuzzy,Program,entity_2667,F&B,entity_6136,F&B존,0.8571,,review,,,
review_0198,fuzzy,Program,entity_9141,기념행사,entity_9797,기념사,0.8571,,review,,,
review_0199,fuzzy,Program,entity_5269,인디밴드공연,entity_9249,인디밴드 공연,0.9231,,review,,,
review_0200,fuzzy,Theme,entity_5261,해양레저 문화,entity_7061,해양 레저 문화,0.9333,,review,,,
review_0201,fuzzy,Product,entity_4078,지역 특산물,entity_10427,지역 농·특산물,0.8571,,review,,,
review_0202,fuzzy,Program,entity_310,랜덤플레이댄스,entity_4389,랜덤플레이 댄스,0.9333,,review,,,
review_0203,fuzzy,Program,entity_10060,대형 도자기 소원 글쓰기,entity_10069,대형도자기 소원글 쓰기,0.88,,review,,,
review_0204,fuzzy,Program,entity_5740,인삼캐기체험,entity_5746,인삼캐기체험여행,0.8571,,review,,,
review_0205,fuzzy,Audience,entity_6181,가족 관람객,entity_9626,가족단위 관람객,0.8571,,review,,,
review_0206,fuzzy,Program,entity_1691,개막 축하공연,entity_6060,개막 축하 공연,0.9333,,review,,,
review_0207,fuzzy,Program,entity_8121,농특산물 판매장,entity_9035,농특산물판매장,0.9333,,review,,,
review_0208,fuzzy,Audience,entity_1555,국내외 관람객,entity_3058,국내외 관광객,0.8571,,review,,,
review_0209,fuzzy,Program,entity_9750,해설사투어,entity_10525,해설투어,0.8889,,review,,,
review_0210,fuzzy,Product,entity_8106,동해시 굿즈,entity_8107,동해시 관광굿즈,0.8571,,review,,,
review_0211,fuzzy,Program,entity_11281,숭례문 개폐의식,entity_11284,숭례문 폐문의식,0.875,,review,,,
review_0212,fuzzy,Program,entity_11561,안산마라톤대회,entity_11567,안산 마라톤대회,0.9333,,review,,,
review_0213,fuzzy,Program,entity_3426,주제전시,entity_5548,주제 전시,0.8889,,review,,,
review_0214,fuzzy,Program,entity_659,부대프로그램,entity_5713,부대 프로그램(광복동 차 없는거리 일대),0.9231,,review,,,
review_0215,fuzzy,Program,entity_1912,소상공인 플리마켓,entity_10595,소상공인 프리마켓,0.8889,,review,,,
review_0216,fuzzy,Program,entity_2328,문화예술공연,entity_4070,문화·예술 공연,0.8571,,review,,,
review_0217,fuzzy,Program,entity_1691,개막 축하공연,entity_4021,개막축하공연,0.9231,,review,,,
review_0218,fuzzy,Program,entity_9459,칡 줄 다리기,entity_9465,칡 줄다리기,0.9231,,review,,,
review_0219,fuzzy,Program,entity_4542,수문장 교대식,entity_7488,수문장교대식,0.9231,,review,,,
review_0220,fuzzy,Program,entity_8007,별파랑 야간 트래킹,entity_8011,별파랑 야간 트레킹,0.9,,review,,,
review_0221,fuzzy,Program,entity_4331,전시 프로그램,entity_5211,전시프로그램,0.9231,,review,,,
review_0222,fuzzy,Audience,entity_99,시민들이,entity_1927,시민들,0.8571,,review,,,
review_0223,fuzzy,Program,entity_2320,주제전시관(백제인의 기약),entity_3426,주제전시,0.8889,,review,,,
review_0224,fuzzy,Product,entity_892,지역 농특산물,entity_5201,지역 농축산물,0.8571,,review,,,
review_0225,fuzzy,Program,entity_109,시민참여 프로그램,entity_5098,시민 참여 프로그램,0.9474,,review,,,
review_0226,fuzzy,Program,entity_1504,태군 노래자랑,entity_9740,태군노래자랑,0.9231,,review,,,
review_0227,fuzzy,Program,entity_1414,한복체험,entity_3420,한복체험존,0.8889,,review,,,
review_0228,fuzzy,Theme,entity_6182,도자 문화,entity_10056,도자문화,0.8889,,review,,,
review_0229,fuzzy,Program,entity_939,무대공연(락성연),entity_1581,무대 공연,0.8889,,review,,,
review_0230,fuzzy,Program,entity_9902,배틀그라운드 모바일 ROUND1,entity_9903,배틀그라운드 모바일 ROUND2,0.9412,,review,,,
review_0231,fuzzy,Program,entity_1514,부대행사,entity_10793,부대 행사,0.8889,,review,,,
review_0232,fuzzy,Program,entity_2497,문화예술체험,entity_3127,문화예술 체험,0.9231,,review,,,
review_0233,fuzzy,Program,entity_4129,먹거리푸드존,entity_4864,먹거리(완제품) 푸드존,0.9231,,review,,,
review_0234,fuzzy,Program,entity_1250,영화 상영,entity_8857,영화상영,0.8889,,review,,,
review_0235,fuzzy,Audience,entity_5506,젊은 층,entity_8189,젊은층,0.8571,,review,,,
review_0236,fuzzy,Audience,entity_3389,반려인,entity_8463,반려인들,0.8571,,review,,,
review_0237,fuzzy,Program,entity_8822,세계 친구 프로그램,entity_8831,세계친구 프로그램,0.9474,,review,,,
review_0238,fuzzy,Program,entity_7751,작가정원,entity_11587,작가 정원,0.8889,,review,,,
review_0239,fuzzy,Program,entity_614,농특산물 판매,entity_8763,농특산품 판매,0.8571,,review,,,
review_0240,fuzzy,Program,entity_78,푸드트럭,entity_757,푸드트럭존,0.8889,,review,,,
review_0241,fuzzy,Program,entity_1210,드레스코드 이벤트,entity_6625,드레스 코드 이벤트,0.9474,,review,,,
review_0242,fuzzy,Location,entity_5825,춘천시청 광장,entity_7606,춘천시청광장,0.9231,,review,,,
review_0243,fuzzy,Program,entity_7388,DIMF 뮤지컬스타,entity_7389,DIMF 뮤지컬캠퍼스,0.8571,,review,,,
review_0244,fuzzy,Product,entity_6846,지역농수특산물,entity_8371,지역농특산물,0.9231,,review,,,
review_0245,fuzzy,Program,entity_1376,거리공연,entity_10406,거리 공연,0.8889,,review,,,
review_0246,fuzzy,Program,entity_3587,역사 체험 프로그램,entity_6919,역사체험 프로그램,0.9474,,review,,,
review_0247,fuzzy,Product,entity_892,지역 농특산물,entity_10427,지역 농·특산물,0.9333,,review,,,
review_0248,fuzzy,Audience,entity_598,방문객,entity_1884,방문객들,0.8571,,review,,,
review_0249,fuzzy,Program,entity_221,청년 프리마켓,entity_8700,청년프리마켓,0.9231,,review,,,
review_0250,fuzzy,Program,entity_8424,블라썸 콘서트,entity_10652,블라썸콘서트(1부),0.9231,,review,,,
review_0251,fuzzy,Program,entity_11185,얼음썰매,entity_11244,얼음썰매장,0.8889,,review,,,
review_0252,fuzzy,Program,entity_1700,농·특산물 판매,entity_2611,농·축산물 판매,0.875,,review,,,
review_0253,fuzzy,Artist,entity_1765,다이나믹 듀오,entity_1814,다이나믹듀오,0.9231,,review,,,
review_0254,fuzzy,Program,entity_1788,VR(AR)체험,entity_6096,vr체험,0.8889,,review,,,
