pair_id,label,expected_decision,candidate_type,entity_type,similarity,left_name,left_source_doc_id,left_evidence,right_name,right_source_doc_id,right_evidence,human_decision,reviewer,review_note
gold_024,positive,merge,exact_normalized,Program,,스탬프 투어(야로 - 미션 스탬프 투어 '강경유산수첩'),3346571,스탬프 투어(야로 - 미션 스탬프 투어 '강경유산수첩'): 코스별 국가유산 방문 스탬프 수집 시 강경통보 및 야행 특화 굿즈 증정,스탬프 투어(완료 시 졸업사진 촬영),4065251,스탬프 투어(완료 시 졸업사진 촬영),,,
gold_025,positive,merge,exact_normalized,Program,,버스킹,4109305,"태권도, 줄넘기, 복싱, 치어리딩 등 생활체육 공연과 마술, 코미디, 버스킹, 콘서트 등 문화공연을 운영하는 행사이다",버스킹 (웰컴 달팽이 / 봄의 왈츠),999659,버스킹 (웰컴 달팽이 / 봄의 왈츠),,,
gold_026,positive,merge,exact_normalized,Program,,축하공연,4109218,"- 부대 행사 및 프로그램 : 축하공연(가수 홍원빈, 가수 박서진, 가수 김태연) / 참가자 현장 프로그램 / 경품 추첨 등",축하공연(인형극-'뜀뛰는 여관),3489255,"어린이 대표의 어린이헌장 낭독, 축하공연(인형극-'뜀뛰는 여관)순으로 진행된다.",,,
gold_027,positive,merge,exact_normalized,Program,,축하공연,4109218,"- 부대 행사 및 프로그램 : 축하공연(가수 홍원빈, 가수 박서진, 가수 김태연) / 참가자 현장 프로그램 / 경품 추첨 등","축하공연(하동근, 오드리걸즈)",4046410,"1. 메인프로그램 : 개막식, 불꽃놀이, 드론라이트쇼, 남해대교 경관조명쇼, 말자할매쇼, 뿅뿅 남해오락실, 조선마술패 마술공연, 검무공연, 축하공연(하동근, 오드리걸즈), 남해 꽃바람 콘서트, 남해-가봄 듀엣가요제",,,
gold_028,positive,merge,exact_normalized,Program,,축하공연,4109218,"- 부대 행사 및 프로그램 : 축하공연(가수 홍원빈, 가수 박서진, 가수 김태연) / 참가자 현장 프로그램 / 경품 추첨 등",축하공연(디셈버 DK),2048902,19:10~19:40 축하공연(디셈버 DK),,,
gold_029,positive,merge,exact_normalized,Program,,축하공연(인형극-'뜀뛰는 여관),3489255,"어린이 대표의 어린이헌장 낭독, 축하공연(인형극-'뜀뛰는 여관)순으로 진행된다.","축하공연(하동근, 오드리걸즈)",4046410,"1. 메인프로그램 : 개막식, 불꽃놀이, 드론라이트쇼, 남해대교 경관조명쇼, 말자할매쇼, 뿅뿅 남해오락실, 조선마술패 마술공연, 검무공연, 축하공연(하동근, 오드리걸즈), 남해 꽃바람 콘서트, 남해-가봄 듀엣가요제",,,
gold_030,positive,merge,exact_normalized,Program,,축하공연(인형극-'뜀뛰는 여관),3489255,"어린이 대표의 어린이헌장 낭독, 축하공연(인형극-'뜀뛰는 여관)순으로 진행된다.",축하공연(디셈버 DK),2048902,19:10~19:40 축하공연(디셈버 DK),,,
gold_031,trap,separate,fuzzy_trap,Program,0.9778,"왕릉 소리 갤러리 ‘자연의 소리, 제향의 울림’",2756476,"왕릉 소리 갤러리 ‘자연의 소리, 제향의 울림’","왕릉 소리갤러리 ‘자연의 소리, 제향의 울림",2756476,"왕릉 소리갤러리 ‘자연의 소리, 제향의 울림 : 9. 30.(수) ~10.25.(일)",,,
gold_032,trap,separate,fuzzy_trap,Program,0.96,개막식 및 개막 축하공연,506544,개막식 및 개막 축하공연,개막식 및 개막축하공연,142064,공연행사 : 개막식 및 개막축하공연,,,
gold_033,trap,separate,fuzzy_trap,Program,0.96,가족의 언어' 듣고싶은 말,2818494,'가족의 언어' 듣고싶은 말,가족의 언어'듣고싶은말,2818494,'가족의 언어'듣고싶은말,,,
gold_034,trap,separate,fuzzy_trap,Program,0.96,우주항공·군사장비 체험,234232,에어쇼 / 우주항공방위산업전 / 항공기·장비 전시 / 우주항공·군사장비 체험 / 학술회의 / 체험비행 / 우주항공 관련 대회,우주항공및 군사장비 체험,234232,"3. 소비자 참여 프로그램 : 체험비행, 우주항공및 군사장비 체험, 종이비행기 대회, 모형항공기 대회, 에어레이싱 대회, 드론 종합경연대회 등",,,
gold_035,trap,separate,fuzzy_trap,Program,0.9524,SNS 인증샷 이벤트,2490376,"부대행사 : SNS 인증샷 이벤트, 선비복 입기 체험 등 프로그램 운영",SNS 인증 이벤트(상권 내 사용 가능 쿠폰 제공),4041281,SNS 인증 이벤트(상권 내 사용 가능 쿠폰 제공),,,
gold_036,trap,separate,fuzzy_trap,Program,0.9524,지역 농특산물 판매장,2989580,"밸리밤 공연, 지역 농특산물 판매장, 먹거리 부스 등이 함께 운영되어",지역농특산물 판매장,1632810,3. 소비자 참여 프로그램 : 지역농특산물 판매장,,,
gold_037,trap,separate,fuzzy_trap,Program,0.9524,무섬 힐링 밧줄체험,1718424,무섬 힐링 밧줄체험,무섬 힐링 밧줄 체험,1718424,무섬 힐링 밧줄 체험,,,
gold_038,trap,separate,fuzzy_trap,Program,0.9524,어린이 체험 프로그램,3520705,"3. 소비자 참여 프로그램 : 비어도슨트 맥주 해설, 맥주 제조과정·브루어리 소개, 어린이 체험 프로그램, 친환경 체험·시민참여 이벤트",어린이 체험프로그램,506534,- 어린이 체험프로그램 등,,,
gold_039,trap,separate,fuzzy_trap,Program,0.9524,어린이 체험프로그램,506534,- 어린이 체험프로그램 등,"어린이 체험 프로그램(시크릿쥬쥬, 또봇)",4059424,"어린이 체험 프로그램(시크릿쥬쥬, 또봇)",,,
gold_040,trap,separate,fuzzy_trap,Program,0.9524,성년을 맞은 너와 나,638241,'성년을 맞은 너와 나' 장류제품 할인이벤트,성년을 맞은 너와나,638241,성년을 맞은 너와나,,,
